"","depth","Fraction","X","cc_variant","Plot","OC_Frac","OC_Frac_pc","cc_variant.fal","OC_Frac.fal","OC_Frac_pc.fal","OC_ratio.pc","OC_ratio.fal"
"128","20-30 cm","16-8",249,"Mix4",27,0.184731299623903,1.10676628569703,"Fallow",0.373741264362998,1.97372047534731,49.4275899501645,99.1330458103497
"129","20-30 cm","16-8",114,"Mix12",11,0.259741271037428,1.2231249549523,"Fallow",0.373741264362998,1.97372047534731,69.497616614566,99.249404479605
"130","20-30 cm","16-8",234,"Mustard",26,0.633275185710709,3.26962171861698,"Fallow",0.373741264362998,1.97372047534731,169.442137139997,101.29590124327
"131","20-30 cm","16-8",354,"Mustard",41,0.0976073619631902,0.602634973334325,"Fallow",0.373741264362998,1.97372047534731,26.1162925452054,98.628914497987
"132","20-30 cm","16-8",144,"Clover",13,0.275579316681981,1.41722033369392,"Fallow",0.373741264362998,1.97372047534731,73.7353198479907,99.4434998583466
"133","20-30 cm","16-8",369,"Fallow",42,0.200284991568297,1.16362563995295,"Fallow",0.373741264362998,1.97372047534731,53.5892101477372,99.1899051646056
"134","20-30 cm","16-8",264,"Mix12",28,0.787781672508763,3.93929400699968,"Fallow",0.373741264362998,1.97372047534731,210.782631629251,101.965573531652
"135","20-30 cm","16-8",159,"Oat",14,0,0,"Fallow",0.373741264362998,1.97372047534731,0,98.0262795246527
"136","20-30 cm","16-8",189,"Clover",23,0.25217612687813,1.27798866757857,"Fallow",0.373741264362998,1.97372047534731,67.4734504652402,99.3042681922313
"137","20-30 cm","16-8",99,"Mix4",10,0.49825931767245,2.39118451857082,"Fallow",0.373741264362998,1.97372047534731,133.316645814232,100.417464043224
"138","20-30 cm","16-8",219,"Fallow",25,0.57894983277592,3.17186777232935,"Fallow",0.373741264362998,1.97372047534731,154.906585913835,101.198147296982
"139","20-30 cm","16-8",339,"Oat",40,0.29999161706765,2.26049826344135,"Fallow",0.373741264362998,1.97372047534731,80.2671916837852,100.286777788094
"140","20-30 cm","16-8",294,"Mix12",37,0.438599715932826,2.6484683018261,"Fallow",0.373741264362998,1.97372047534731,117.353837468381,100.674747826479
"141","20-30 cm","16-8",279,"Mix4",36,0.336796522320682,1.78076736241106,"Fallow",0.373741264362998,1.97372047534731,90.1148881418581,99.8070468870637
"142","20-30 cm","16-8",174,"Oat",22,0.624731686898284,2.95226808820146,"Fallow",0.373741264362998,1.97372047534731,167.156197740989,100.978547612854
"143","20-30 cm","16-8",69,"Mustard",8,0.350810179390905,1.89168762637804,"Fallow",0.373741264362998,1.97372047534731,93.8644492437364,99.9179671510307
"144","20-30 cm","16-8",84,"Fallow",9,0.341988968744777,1.58566801375963,"Fallow",0.373741264362998,1.97372047534731,91.504203938428,99.6119475384123
"145","20-30 cm","16-8",204,"Phacelia",24,0.314027175725242,1.71563154493644,"Fallow",0.373741264362998,1.97372047534731,84.0226128791178,99.7419110695891
"146","20-30 cm","16-8",324,"Clover",39,0.221366024518389,1.7588826589238,"Fallow",0.373741264362998,1.97372047534731,59.2297521376677,99.7851621835765
"147","20-30 cm","16-8",309,"Phacelia",38,0.235463451394122,1.40001911737471,"Fallow",0.373741264362998,1.97372047534731,63.0017270893125,99.4262986420274
"148","20-30 cm","2-1",237,"Mustard",26,2.03322927969285,10.4976331961451,"Fallow",2.06832931931044,10.8559438652143,98.3029762577029,99.6416893309308
"149","20-30 cm","2-1",132,"Phacelia",12,2.56233123689727,12.8419427083211,"Fallow",2.06832931931044,10.8559438652143,123.884103608391,101.985998843107
"150","20-30 cm","2-1",117,"Mix12",11,2.36285774093611,11.1267272097268,"Fallow",2.06832931931044,10.8559438652143,114.239919091988,100.270783344512
"151","20-30 cm","2-1",267,"Mix12",28,1.93168920046737,9.65939162630426,"Fallow",2.06832931931044,10.8559438652143,93.3936961794544,98.80344776109
"152","20-30 cm","2-1",342,"Oat",40,1.50017352669964,11.3041147119804,"Fallow",2.06832931931044,10.8559438652143,72.5306899966869,100.448170846766
"153","20-30 cm","2-1",252,"Mix4",27,1.81365482657752,10.8660092796097,"Fallow",2.06832931931044,10.8559438652143,87.6869466406913,100.010065414395
"154","20-30 cm","2-1",147,"Clover",13,2.17739704285356,11.1976885668026,"Fallow",2.06832931931044,10.8559438652143,105.273228132717,100.341744701588
"155","20-30 cm","2-1",222,"Fallow",25,2.0561856187291,11.2651365088108,"Fallow",2.06832931931044,10.8559438652143,99.4128739331806,100.409192643596
"156","20-30 cm","2-1",72,"Mustard",8,2.13656070087609,11.5210608992884,"Fallow",2.06832931931044,10.8559438652143,103.298864495544,100.665117034074
"157","20-30 cm","2-1",357,"Mustard",41,1.88003361627027,11.6074646975496,"Fallow",2.06832931931044,10.8559438652143,90.8962416534836,100.751520832335
"158","20-30 cm","2-1",282,"Mix4",36,2.11635512456111,11.189949667893,"Fallow",2.06832931931044,10.8559438652143,102.321961246804,100.334005802679
"159","20-30 cm","2-1",372,"Fallow",42,1.7612150084317,10.2323939763716,"Fallow",2.06832931931044,10.8559438652143,85.1515758147678,99.3764501111573
"160","20-30 cm","2-1",327,"Clover",39,1.29984321574514,10.3280153152137,"Fallow",2.06832931931044,10.8559438652143,62.8450800174556,99.4720714499994
"161","20-30 cm","2-1",162,"Oat",14,1.91717342248224,11.1855007618815,"Fallow",2.06832931931044,10.8559438652143,92.6918844394376,100.329556896667
"162","20-30 cm","2-1",192,"Clover",23,2.12573622704508,10.7728944926564,"Fallow",2.06832931931044,10.8559438652143,102.775520667752,99.9169506274421
"163","20-30 cm","2-1",102,"Mix4",10,2.59741014360422,12.4651696485648,"Fallow",2.06832931931044,10.8559438652143,125.580105612494,101.60922578335
"164","20-30 cm","2-1",177,"Oat",22,2.20418250313939,10.4162119531644,"Fallow",2.06832931931044,10.8559438652143,106.568256928942,99.5602680879501
